repo_name,week,commit_sha,dependency,version,concreteVersion,dependency_type
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,qs,^6.11.0,6.13.0,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,ts-jest,^29.0.3,29.2.5,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@nowarp/misti,~0.4.2,0.4.2,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@tact-lang/compiler,~1.5.0,1.5.2,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@ton/crypto,^3.2.0,3.3.0,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@ton/sandbox,^0.20.0,0.20.0,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@ton/test-utils,^0.4.2,0.4.2,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@types/jest,^29.2.4,29.5.13,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@types/node,^18.11.14,18.19.55,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,@types/qs,^6.9.7,6.9.16,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,base64url,^3.0.1,3.0.1,normal
