,repo_name,file_path,file_url,,
80,sparesparrow/cursor-rules,.cursor/ai_devops_pipelines.md,https://github.com/sparesparrow/cursor-rules/blob/53c530729aa2b5d37d3f7b7a065fa022db813626/.cursor/ai_devops_pipelines.md,,
81,MayGo/tockler,.cursor/rules/git-conventional-commits.mdc,https://github.com/MayGo/tockler/blob/d79f28df009d78cb6d3387eacd1d14c73805cfb6/.cursor/rules/git-conventional-commits.mdc,,
82,IamLiuLv/compoder,.cursor/rules/refactor-bizcomponent.mdc,https://github.com/IamLiuLv/compoder/blob/e6533f557d2d6a3f59dc92b896dfeb61231cd8a1/.cursor/rules/refactor-bizcomponent.mdc,,
83,Qwertic/cursorrules,rules/laravel-tall-stack-best-practices-cursorrules-prom/.cursorrules,https://github.com/Qwertic/cursorrules/blob/cd412562041fdd096bd706462c588a4ae1f69a9b/rules/laravel-tall-stack-best-practices-cursorrules-prom/.cursorrules,,
84,ephemeraHQ/xmtp-agent-examples,.cursor/rules/xmtp.mdc,https://github.com/ephemeraHQ/xmtp-agent-examples/blob/ab84c0a01e1ece34992405e26017ab7b26062079/.cursor/rules/xmtp.mdc,,
85,grafana/faro-flutter-sdk,.cursor/rules/project-overview.mdc,https://github.com/grafana/faro-flutter-sdk/blob/dc103cd8804b6fcbf934a3fdd04609b8ef9cae7e/.cursor/rules/project-overview.mdc,,
86,AndreRatzenberger/cursor-rules,.cursor/rules/knowledge-management-rule.mdc,https://github.com/AndreRatzenberger/cursor-rules/blob/2359f31859717218e2a4b02ba61fab8f64e67254/.cursor/rules/knowledge-management-rule.mdc,,
87,wardbox/roke,.cursor/rules/state-management-forms.md,https://github.com/wardbox/roke/blob/b534c5132e3e6c7aeab2930f8f3666e4585fddd9/.cursor/rules/state-management-forms.md,,
88,sparesparrow/cursor-rules,.cursor/rules/mcp/server/mcp-server-capabilities-rules.mdc,https://github.com/sparesparrow/cursor-rules/blob/53c530729aa2b5d37d3f7b7a065fa022db813626/.cursor/rules/mcp/server/mcp-server-capabilities-rules.mdc,,
89,T1nker-1220/UltraContextAI,.cursor/scratchpad.md,https://github.com/T1nker-1220/UltraContextAI/blob/24768bb73a050e8671be289f3e5225f2bd134aaf/.cursor/scratchpad.md,,
90,gruntwork-io/docs,.cursor/rules/gitlab-background.mdc,https://github.com/gruntwork-io/docs/blob/3180a62fa63a5a03d69c62dc3eb53c34c0c02eee/.cursor/rules/gitlab-background.mdc,,
91,mazeincoding/Mazeway,.cursor/rules/security-algorithms.mdc,https://github.com/mazeincoding/Mazeway/blob/0bf2bd1b4999ce76756da5e483eebc79312db981/.cursor/rules/security-algorithms.mdc,,
92,kargnas/laravel-ai-translator,.cursorrules,https://github.com/kargnas/laravel-ai-translator/blob/5860f638b7b186e998a7ffebc90fdf34855658d9/.cursorrules,,
93,brandon-schabel/octoprompt,.cursor/rules/frontend-rules.mdc,https://github.com/brandon-schabel/octoprompt/blob/0b60e20381a183d0cd5cb757c9c3af099ea83aa2/.cursor/rules/frontend-rules.mdc,,
94,jlcases/paelladoc,.cursor/rules/paelladoc_conversation_config.json,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/paelladoc_conversation_config.json,,
95,linshenkx/prompt-optimizer,.cursorrules,https://github.com/linshenkx/prompt-optimizer/blob/2b1cb2805fb3f003b9aec98c36ee8873a85c274c/.cursorrules,,
96,EugenEistrach/et-stack,.cursor/rules/400-ui.client-base.mdc,https://github.com/EugenEistrach/et-stack/blob/d390840e91d9966754d45aeb17b78fc068c8ea5d/.cursor/rules/400-ui.client-base.mdc,,
97,sushaantu/boxento,.cursor/rules/styling-conventions.mdc,https://github.com/sushaantu/boxento/blob/a9e628c5d947861639bd05dc2554792244dd0e2e/.cursor/rules/styling-conventions.mdc,,
98,jlcases/paelladoc,.cursor/rules/features/coding_styles.mdc,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/features/coding_styles.mdc,,
99,wardbox/roke,.cursor/rules/wasp-reference.md,https://github.com/wardbox/roke/blob/b534c5132e3e6c7aeab2930f8f3666e4585fddd9/.cursor/rules/wasp-reference.md,,
100,Coyenn/personal-site,.cursor/rules/typescript-best-practices.mdc,https://github.com/Coyenn/personal-site/blob/e92059531012484fc7108800a261f74359f6833d/.cursor/rules/typescript-best-practices.mdc,,
