repo_name,week,commits,lines_added,contributors
davidgasquez/dotfiles,2024-W53,1,0,1
davidgasquez/dotfiles,2024-W52,10,0,1
davidgasquez/dotfiles,2024-W51,2,0,1
davidgasquez/dotfiles,2024-W48,9,0,1
davidgasquez/dotfiles,2024-W47,6,0,1
davidgasquez/dotfiles,2024-W46,1,0,1
davidgasquez/dotfiles,2024-W45,5,0,1
davidgasquez/dotfiles,2024-W44,1,0,1
davidgasquez/dotfiles,2024-W43,3,0,1
davidgasquez/dotfiles,2024-W42,1,0,1
davidgasquez/dotfiles,2024-W37,6,0,1
davidgasquez/dotfiles,2024-W36,2,0,1
davidgasquez/dotfiles,2024-W35,1,0,1
davidgasquez/dotfiles,2024-W34,1,0,1
davidgasquez/dotfiles,2024-W32,1,0,1
davidgasquez/dotfiles,2024-W31,2,0,1
davidgasquez/dotfiles,2024-W28,2,0,1
davidgasquez/dotfiles,2024-W25,2,0,1
davidgasquez/dotfiles,2024-W22,3,0,1
davidgasquez/dotfiles,2024-W21,1,0,1
davidgasquez/dotfiles,2024-W20,1,0,1
davidgasquez/dotfiles,2024-W17,2,0,1
davidgasquez/dotfiles,2024-W16,1,0,1
davidgasquez/dotfiles,2024-W14,5,0,1
davidgasquez/dotfiles,2024-W13,3,0,1
davidgasquez/dotfiles,2024-W12,8,0,1
davidgasquez/dotfiles,2024-W10,1,0,1
davidgasquez/dotfiles,2024-W09,1,0,1
davidgasquez/dotfiles,2024-W08,1,0,1
davidgasquez/dotfiles,2024-W07,4,0,1
davidgasquez/dotfiles,2024-W04,2,0,1
davidgasquez/dotfiles,2024-W01,1,0,1
davidgasquez/dotfiles,2023-W52,1,0,1
davidgasquez/dotfiles,2023-W50,1,0,1
davidgasquez/dotfiles,2023-W48,1,0,1
davidgasquez/dotfiles,2023-W46,1,0,1
davidgasquez/dotfiles,2023-W45,1,0,1
davidgasquez/dotfiles,2023-W44,2,0,1
davidgasquez/dotfiles,2023-W43,1,0,1
davidgasquez/dotfiles,2023-W39,1,0,1
davidgasquez/dotfiles,2023-W38,1,0,1
davidgasquez/dotfiles,2023-W37,2,0,1
davidgasquez/dotfiles,2023-W35,1,0,1
davidgasquez/dotfiles,2023-W31,1,0,1
davidgasquez/dotfiles,2023-W26,1,0,1
davidgasquez/dotfiles,2023-W24,2,0,1
davidgasquez/dotfiles,2023-W23,1,0,1
davidgasquez/dotfiles,2023-W22,1,0,1
davidgasquez/dotfiles,2023-W21,5,0,1
