repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
baotoq/micro-commerce,2,98.54014598540147,2025-03-31T10:16:58
Mineru98/mysql-mcp-server,5,98.38709677419355,2025-03-16T20:30:59
benjamincrozat/blog-v5,11,98.28080229226362,2025-01-04T06:39:36
stolinski/drop-in,6,98.26086956521739,2024-12-06T16:03:14
Dankovk/browser-use-node,3,98.21428571428571,2024-12-28T14:17:34
tmbasic-lang/tmbasic,2,98.18468823993686,2025-03-23T04:04:06
thrashr888/terraform-mcp-server,11,98.18181818181819,2025-02-27T18:03:26
ai-driven-dev/rules,30,98.11320754716981,2025-03-10T02:20:19
ahmedkhaleel2004/gitdiagram,1,98.11320754716981,2025-03-06T19:34:45
wakeyi-git/obsidian-card-navigator-plugin,18,98.06629834254143,2025-01-17T22:59:17
a-polishchuk/mastering-react,5,98.02631578947368,2025-01-03T09:34:41
Alezander9/WiiWork,1,98.0,2025-02-15T13:24:38
ctxs-ai/ctxs.ai,7,97.96610169491525,2025-03-04T15:02:49
riclolsen/json-scada,2,97.91154791154791,2025-01-07T13:09:04
ojasskapre/nextjs-starter-template,2,97.87234042553192,2024-08-17T13:37:23
project-89/argOS,3,97.84946236559139,2025-02-15T02:32:49
Kiln-AI/Kiln,28,97.83989834815756,2025-01-05T20:27:07
christophebe/julius-gpt,1,97.83783783783784,2024-09-25T14:55:39
LegendApp/legend-photos,9,97.79411764705883,2025-03-14T22:22:43
JaleelB/readium-x,1,97.76119402985076,2024-08-25T12:46:06
benallfree/pocketpages,4,97.74011299435028,2024-11-22T23:19:32
madarco/ragrabbit,3,97.72727272727273,2025-01-22T13:26:52
wandb/mcp-server,1,97.67441860465115,2025-03-09T13:08:49
respawn-app/FlowMVI,4,97.6365118174409,2024-12-30T18:06:49
exa-labs/exa-deepseek-chat,1,97.61904761904762,2025-01-28T12:55:55
Malte2036/thw-tools,7,97.52252252252252,2025-02-28T03:55:47
convergence-ai/webgames,2,97.5,2025-01-20T18:17:22
Openpanel-dev/openpanel,2,97.4384236453202,2024-11-13T15:15:46
kirill-markin/chatgpt-telegram-bot-telegraf,2,97.38372093023256,2025-02-19T03:26:06
GeekyWizKid/writing-helper,2,97.36842105263158,2025-03-03T00:29:03
